Dice_coefficient,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/n_estimators,config/max_features,config/bootstrap,logdir
0.8085924207969917,1711712543,,False,1,9b12d_00033,2024-03-29_12-42-23,625.6350569725037,625.6350569725037,6984,PrF-NB-PoselHP1,127.0.0.1,625.6350569725037,1,16,sqrt,False,9b12d_00033
0.808429536559304,1711730242,,False,1,9b12d_00078,2024-03-29_17-37-22,3699.067668914795,3699.067668914795,6984,PrF-NB-PoselHP1,127.0.0.1,3699.067668914795,1,100,,True,9b12d_00078
0.8081692809926403,1711734975,,False,1,9b12d_00084,2024-03-29_18-56-15,4715.294781446457,4715.294781446457,9228,PrF-NB-PoselHP1,127.0.0.1,4715.294781446457,1,126,,True,9b12d_00084
0.8081563580325103,1711748673,,False,1,9b12d_00096,2024-03-29_22-44-33,8177.530090808868,8177.530090808868,10372,PrF-NB-PoselHP1,127.0.0.1,8177.530090808868,1,200,,True,9b12d_00096
0.8079225337960448,1711740453,,False,1,9b12d_00090,2024-03-29_20-27-33,5386.975573301315,5386.975573301315,12624,PrF-NB-PoselHP1,127.0.0.1,5386.975573301315,1,158,,True,9b12d_00090
0.807410359175594,1711726543,,False,1,9b12d_00072,2024-03-29_16-35-43,2969.4380655288696,2969.4380655288696,6984,PrF-NB-PoselHP1,127.0.0.1,2969.4380655288696,1,79,,True,9b12d_00072
0.807061435007092,1711723402,,False,1,9b12d_00066,2024-03-29_15-43-22,2427.335865497589,2427.335865497589,12624,PrF-NB-PoselHP1,127.0.0.1,2427.335865497589,1,63,,True,9b12d_00066
0.8060994433277386,1711718524,,False,1,9b12d_00054,2024-03-29_14-22-04,1654.1924300193787,1654.1924300193787,6984,PrF-NB-PoselHP1,127.0.0.1,1654.1924300193787,1,40,,True,9b12d_00054
0.8060360470658907,1711720780,,False,1,9b12d_00060,2024-03-29_14-59-40,2071.3278992176056,2071.3278992176056,9228,PrF-NB-PoselHP1,127.0.0.1,2071.3278992176056,1,50,,True,9b12d_00060
0.8051413888379741,1711711589,,False,1,9b12d_00027,2024-03-29_12-26-29,695.8945577144623,695.8945577144623,12624,PrF-NB-PoselHP1,127.0.0.1,695.8945577144623,1,13,sqrt,False,9b12d_00027
